Row Labels,Albany,Allegany,Bronx,Broome,Cattaraugus,Cayuga,Chautauqua,Chemung,Chenango,Clinton,Columbia,Cortland,Delaware,Dutchess,Erie,Essex,Franklin,Fulton,Genesee,Greene,Hamilton,Herkimer,Jefferson,Kings,Lewis,Livingston,Madison,Monroe,Montgomery,Nassau,New York,New York City,New York State,Niagara,Oneida,Onondaga,Ontario,Orange,Orleans,Oswego,Otsego,Putnam,Queens,Rensselaer,Rest of State,Richmond,Rockland,Saratoga,Schenectady,Schoharie,Schuyler,Seneca,St Lawrence,Steuben,Suffolk,Sullivan,Tioga,Tompkins,Ulster,Warren,Washington,Wayne,Westchester,Wyoming,Yates,Grand Total
2003,956.2,957.2,740.2,1035,1005,952,1074,1039,1036,796.4,1038,924.2,1124,755.3,1061,984.8,838.3,1045,1008,1140,1042,1201,742.3,719.4,874.8,790.3,833.5,867.3,1355,823.9,708.3,716.3,807.8,1076,1076,872.7,858,689.8,864.1,864.8,1011,594.7,691.9,894.8,874.4,773.9,724.6,683.9,1080,896.3,1079,960.7,913.5,1004,783.6,918,848.4,570,836.5,962.7,1031,896.2,772.9,864.2,991.1,58950.2
2004,938.2,897.7,702.9,1048,1089,854.5,1039,1001,1061,763.4,1110,865.2,1111,764.5,1032,1108,858.7,1013,903,1071,1167,1124,832.5,699.5,828.2,722,862.1,850.1,1276,802.1,683.9,691.8,787.7,1057,1058,861.5,924.6,674.8,822.4,841,946.9,619.5,668,951.5,857.6,759.7,655.6,707.1,1045,930.9,845.9,872.4,932.6,1039,759.8,938.1,782,573.2,841.7,874.9,915.5,873.6,763.8,849.1,843.2,57643.9
2005,954.6,950.6,699.5,1019,1061,957.6,1051,1114,933.2,767.9,969.8,907,1216,750.2,1047,985.1,850.4,1088,946.7,1025,1339,1087,708,688.4,907,797.4,773.4,851.4,1264,789.6,671.8,684.9,784.2,1023,1031,893.1,877.8,660.5,871.2,818.7,919.6,601,667.1,939.8,856.9,754.9,653.4,756.3,1008,895.4,935.8,966.9,959.8,983.5,769.7,872.8,883.9,617.9,833.1,961.1,971.1,791.6,752.5,887.7,1010,58064.8
2006,888.6,875.3,692,1094,978.7,957.6,1039,1025,973.2,750.9,1031,905.5,1122,757.6,1020,1063,831.9,999.4,907.7,1024,1182,1102,734.3,650,869.4,768.2,773.5,840.2,1236,784.3,640.7,659.7,764.6,1057,1038,868,865.3,630.7,819.2,868.6,910.8,581.5,648.6,922.1,842.3,735.1,658.4,678.5,978.5,922.5,906.5,959,929.2,977.2,755.6,927,830.7,548.8,797.3,944.2,894.8,858,743,774.4,925.9,56738
2007,887.7,961,659.1,1047,972.7,846.8,1041,1073,1111,821,1013,862.1,1225,728.3,1040,1036,834.5,981.6,1027,1099,1182,1077,733.8,639.6,850,786.4,814.8,849.4,1251,797.1,615.7,639,757.9,1077,1064,870.9,859,662.3,826,841.5,891.1,555.8,633.7,907.8,847.3,680.8,630.4,710.2,995.9,898.2,830.4,946.6,976.2,1035,750.3,910.8,842.4,630.3,846.3,984.2,852.7,854.4,715.1,846.6,940.7,57174.4
2008,902.3,880.2,651.9,1028,978.8,927.1,1061,1134,1035,778.6,1014,898.5,1135,726.9,1037,1097,896.7,1030,1129,1055,1235,1042,719.2,632.6,863.4,828.1,824.2,861.9,1235,802,622.4,633.7,756.6,1040,1055,894.1,946.6,656.4,928,827.1,900.6,622.7,613.6,913.3,849,719.7,652.5,717.8,970.1,752.1,963.6,944.7,961.7,1019,741.2,972.6,797.3,593.3,820.2,938.3,893.3,899.9,720.4,837.9,941.1,57555.2
2009,864.9,897.1,649.3,1073.3,1010.2,865.1,1000.7,1065.3,1031.2,791.5,986.7,843.8,1173.3,773.3,1029.4,1032.2,907,1020.8,1052.4,1027.6,1421.9,1023.5,763.1,600.4,967.2,781,774.8,840.8,1195.1,767.9,603.2,614.1,741.8,1065,1043.5,861.1,898.2,638.8,970.3,814,969.1,640.7,599.8,955.4,838,688.6,670.3,762,982.5,878.6,897.4,933.9,898.7,980.8,734.6,950.8,787,588.5,835,902.7,972.1,854.4,697.1,794.7,1013,57306.5
2010,844.8,852,633.7,1009,1083,913.5,1067,1042,1094,793.9,1094,863.5,1103,744.6,1010,962.7,792.7,1010,997,1065,1096,948.6,780.4,619,926.6,825.8,822.4,839.3,1133,791.2,606.9,622,747.8,1039,1043,860.3,912.6,659,900.1,842.7,989.4,630.8,612.2,918.9,839.6,701.5,627.6,716.7,944.9,815.3,1232,953.2,904,996.1,745.6,915.6,786.3,657.7,829.1,951.2,947.5,861.7,706.6,908.6,903.4,57086.6
2011,888.4,994.3,639.8,1059,1002,926.8,1110,1055,997.6,837.1,1066,869.1,1083,789.3,1043,839.7,964.1,1113,1013,1038,1168,985,757.4,624.8,860.7,840.6,790.6,873.9,1120,795,607.6,622.7,755.7,1065,1046,878.2,976.7,674.1,908,823.1,917.4,619.4,608.7,926,853.5,679.8,615.2,737,941.6,764.3,1111,849.5,876.5,951.2,756.7,901.2,838.5,616.4,883.5,944.8,957.8,888.3,729.3,841.6,950.7,57261.2
2012,888.5,978.1,631.9,1035,977.9,979.2,1044,1065,1103,883,1018,937.9,1176,782.7,1014,1163,847.6,1173,1004,947.1,1193,1031,686.8,595.5,855.9,814.7,870.4,856.6,1207,812.8,584.9,611,753.1,1053,1074,885.1,946.4,659.5,992.2,868.5,977.2,679.7,613.1,940.3,858.6,712.5,661.2,747.8,969.5,757,1021,971.5,918.6,966.1,768.8,983.2,913.3,666,832.8,988.7,972.4,886.4,713.4,890.4,1101,58510.8
2013,853.6,958.2,639.9,1061,990,880.8,982.9,935.5,1081,810.1,1051,875.9,1143,786.8,1046,1037,723.6,1079,1029,986.5,1404,1038,729.7,600.7,836.1,836.1,797.2,835.8,1186,782.9,600.7,616.5,750.3,1121,1045,867.9,921.1,680.8,1042,885.6,938.7,668.4,604.3,901.1,850.3,747.5,624.5,762.5,1001,917,953.4,886.8,866.4,936.6,769.9,907.8,694.6,641.8,917.7,1024,890.7,885.7,724.1,881.3,977.9,57502.2
